NewVolSales,Base_Price,Radio ,InStore,NewspaperInserts,Discount,TV,Stout,Website_Campaign 
19564,15.02927551,245,15.452,,0,101.78,2.28342,
19387,15.02927551,314,16.388,,0,76.734,2.22134,
23889,14.5850933,324,62.692,,0.05,131.5902,2.00604,
20055,15.33288702,298,16.573,,0,119.62706,2.19897,
20064,15.64263188,279,41.504,,0.045,103.438118,1.8186,
19481,15.4869851,259,20.404,,0,128.4014354,2.29155,
19509,15.79984295,235,32.477,,0,94.66043062,2.07661,
19033,15.4869851,290,16.617,,0,119.2581292,2.63739,
20498,15.02927551,315,44.796,,0.035,122.9274388,2.28031,
19509,15.4869851,318,27.272,,0.045,187.4482316,2.44064,
18755,15.79984295,320,19.054,,0,166.3444695,2.02237,
19600,15.95863401,330,36.818,,0.065,181.0833409,2.27081,Facebook
18473,15.79984295,345,28.729,,0,176.1250023,2.51082,Facebook
18262,15.95863401,278,10.782,,0,147.8275007,2.40702,Facebook
20550,15.95863401,250,26.959,,0,148.7182502,2.47845,Facebook
20101,15.79984295,250,31.937,,0,130.2254751,2.20692,
20940,15.02927551,250,26.228,,0,127.6876425,2.38661,
20272,15.4869851,268,25.686,,0,115.3762928,2.30943,
22228,14.73167592,287,29.955,Insert,0.04345159,122.3928878,2.31879,
20402,15.18032224,290,11.716,,0,151.4478664,2.41711,
24944,14.5850933,310,48.987,,0.045,184.8043599,2.22604,
21653,15.33288702,320,18.97,,0,138.321308,2.14819,
21139,15.33288702,345,13.659,,0,139.7063924,2.15272,
20071,15.18032224,350,18.799,,0,192.6219177,2.08844,
22707,14.43996919,328,51.727,,0.055,192.3265753,2.17695,
20055,15.02927551,345,24.686,,0,139.1779726,2.0752,
24219,14.43996919,310,44.416,,0.049472915,238.1033918,2.47874,
20093,15.33288702,294,13.786,,0,145.6310175,2.43444,
19702,15.33288702,315,13.118,,0,83.23930526,2.46132,
21507,15.02927551,315,24.219,,0,153.4217916,2.03925,
20538,15.33288702,250,22.623,,0,202.9665375,2.43321,
21034,15.79984295,250,53.787,,0.063153816,216.5699612,2.35075,
21546,15.02927551,0,34.117,,0.060399318,181.5209884,2.42992,
19597,15.64263188,0,18.111,,0,234.9862965,2.64613,
19696,15.64263188,0,25.406,,0,235.765889,2.47329,
20104,15.4869851,224,30.386,,0.039469809,168.9397667,2.9124,
17952,16.11902095,253,22.054,,0,133.14193,2.64979,
19877,15.4869851,234,42.144,,0.054000788,98.182579,2.70725,
20183,15.64263188,249,42.415,Insert,0.044411908,162.3847737,2.39073,
18502,16.11902095,236,16.684,,0,150.9154321,2.23971,
17937,16.2810198,276,26.602,,0,118.6346296,2.64806,
18977,16.11902095,298,41.048,,0.053956493,163.1303889,2.41695,
19588,15.95863401,313,33.614,,0.040841822,133.9891167,2.41451,
19980,15.64263188,320,57.707,,0.05229331,126.576735,2.45625,
20442,15.4869851,312,26.808,Insert,0.042247986,132.1930205,2.44641,
19953,15.4869851,321,20.749,,0,161.7379062,2.57093,Twitter
20383,15.33288702,290,37.036,,0,201.8913719,2.49391,Twitter
22730,14.5850933,290,37.142,,0,179.7774116,2.13239,Twitter
23576,14.43996919,290,39.609,,0.062362896,192.6732235,2.58442,Twitter
21236,15.4869851,290,40.122,,0.06447485,240.291967,2.35971,
20997,15.18032224,290,25.663,,0.045581488,151.7475901,2.24545,
22466,15.02927551,290,59.704,,0.090762729,157.734277,2.3847,
19578,15.33288702,0,23.331,,0,179.1302831,2.70763,
18667,15.64263188,0,19.289,Insert,0,130.5990849,2.82981,
20690,15.18032224,0,40.305,,0,128.9197255,2.55256,
20988,15.02927551,0,39.121,,0,177.9059176,2.47412,
23872,14.87973172,0,63.376,,0.05576473,138.8417753,2.15073,
19178,15.64263188,341,26.128,,0,73.85253259,2.53717,
19929,15.4869851,354,37.115,,0,131.8457598,2.59796,
19004,15.79984295,341,31.96,,0,191.6637279,2.73315,
19027,15.79984295,310,21.398,,0,125.3291184,2.30628,
18828,15.95863401,298,26.851,,0,80.29873551,2.84464,
19897,15.79984295,317,46.118,,0.048362086,102.2096207,2.53279,
19756,15.95863401,320,57.543,,0.075893711,176.9628862,2.3899,
20153,15.64263188,310,64.972,,0.066317118,177.4088659,2.98161,
18779,15.64263188,320,22.227,Insert,0,106.4226598,2.984,
21041,15.02927551,324,28.883,,0,130.3467979,2.54844,
20930,14.87973172,330,36.743,,0.059957391,175.5340394,3.10599,
19934,15.18032224,300,41.172,,0.049406128,108.9402118,2.38016,
22101,14.2962891,300,36.771,,0.050371767,137.7520635,2.8515,
20951,14.5850933,399,37.248,,0.056709018,167.5356191,2.78635,
20277,14.43996919,300,17.409,,0.033052697,121.1706857,2.87728,
22767,14.43996919,245,54.308,,0.051758322,95.08120572,2.14129,
21196,14.73167592,276,23.335,,0.026764736,145.0743617,2.39876,
24468,13.73572359,251,37.836,,0.051045844,135.1523085,2.66283,
22495,14.01320361,247,45.307,,0,117.6856926,2.84149,
21710,13.8737699,261,34.215,,0,148.7057078,2.97774,
19400,14.43996919,257,27.956,,0,130.0817123,3.0149,
23677,14.5850933,250,68.119,,0.077304159,48.6145137,2.51717,
20324,14.87973172,243,29.317,,0,99.00435411,2.41463,
19529,15.4869851,267,25.452,,0,142.6113062,2.14445,
19831,15.33288702,210,25.121,,0,108.3733919,3.10158,
19068,15.64263188,221,16.481,,0,143.4620176,2.80915,
19144,15.4869851,219,18.074,,0,109.4686053,2.55737,
20635,15.18032224,218,34.414,,0,82.82058158,2.51033,
19558,15.18032224,212,18.387,,0,37.65617447,2.89872,
19561,15.18032224,201,52.137,,0.073763955,98.02685234,3.06922,
18890,15.33288702,209,18.026,,0.034482759,120.2680557,2.9457,
20204,14.5850933,210,60.145,,0.071266735,37.69041671,2.98278,Website Campaign 
18524,15.18032224,208,33.169,,0,105.877125,2.83324,Website Campaign 
18508,15.02927551,210,47.023,,0.049254633,97.2131375,3.13095,Website Campaign 
17431,15.4869851,221,13.524,,0,178.1939413,2.90042,Website Campaign 
18705,15.18032224,218,34.331,,0,158.4581824,3.1472,Website Campaign 
18941,15.18032224,201,51.487,,0,51.17745471,2.89234,Website Campaign 
17785,15.64263188,235,18.201,,0,188.1832364,2.93475,
18289,15.18032224,239,34.074,,0,206.1849709,3.15862,
17926,15.79984295,212,34.684,,0,62.48549128,2.95312,
18312,15.79984295,239,39.253,Insert,0,155.8056474,2.7384,
19126,15.64263188,280,38.735,,0,182.4716942,2.80214,
18335,15.95863401,292,29.485,,0,71.61150826,3.0854,
19054,15.64263188,NaN,48.611,,0.054209246,135.0934525,2.65688,
18198,15.95863401,NaN,29.323,,0.04,176.9580357,2.92802,
20495,15.64263188,NaN,50.935,,0.061,164.5274107,2.53958,
18169,16.2810198,NaN,46.169,,0.06053496,162.1282232,2.6679,
