status,type,N1,N2,N3,C1,C2,C3,C4,time,X,X0,X1,X2,X3,X4,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29
Approved,1,-3.736862645,0.139854335,0.945763577,0,10000,10000,,10/18/2019 14:28,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-2.721874488,-0.330683613,1.249777732,100000,125000,25000,,7/23/2019 16:44,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Approved,1,-2.468127449,-1.611592472,-1.385011615,160000,266000,106000,,6/18/2019 11:55,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,1,-2.21438041,-0.592093585,1.452453836,85000,127000,42000,,6/19/2019 9:21,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-2.21438041,-0.095414639,0.236397214,210000,250000,40000,,7/18/2019 14:25,pending,H,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-2.21438041,-3.598308252,0.337735266,10000,20000,10000,,7/31/2019 13:13,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-2.21438041,-1.376323498,-0.979659408,95000,250000,155000,,7/20/2019 11:51,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-2.21438041,-1.376323498,-1.08099746,50000,500000,450000,,8/25/2019 11:19,pending,H,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,2,-1.960633371,-0.696657573,0.135059162,0,1,1,,11/1/2019 14:31,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Declined,1,-1.960633371,-0.304542616,0.945763577,0,100000,100000,,7/15/2019 16:26,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.960633371,-0.330683613,-0.168954993,0,94000,94000,,8/2/2019 10:40,pending,H,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.960633371,-2.108271417,-0.067616941,0,450000,450000,,7/4/2019 8:46,pending,H,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approved,1,-1.960633371,-2.029848426,-1.182335511,30000,100000,70000,,10/2/2019 10:31,pending,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
